City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Waingapu,ID,86.14,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
245,Victoria,HK,89.04,broken clouds,22.2855,114.1577,Mini Hotel Central
253,Manggar,ID,81.81,overcast clouds,-2.8833,108.2667,Guest Hotel
256,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
257,Hasaki,JP,79.2,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
259,San Patricio,US,78.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
268,Bandarbeyla,SO,78.15,clear sky,9.4942,50.8122,JABIR HOTEL
269,Nhulunbuy,AU,88.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
273,Karratha,AU,75.67,clear sky,-20.7377,116.8463,ibis Styles Karratha
278,Atuona,PF,78.33,broken clouds,-9.8,-139.0333,Villa Enata
284,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
289,Mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
292,Talisay,PH,89.62,scattered clouds,10.2447,123.8494,RedDoorz near Talisay District Hospital
293,Dingle,PH,84.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
297,Siddipet,IN,75.0,few clouds,18.1,78.85,Roads And Buildings (R&B) Guest House
300,Sinnamary,GF,80.67,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
302,Champasak,LA,76.08,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
303,Myitkyina,MM,79.77,broken clouds,25.3833,97.4,Shwe Phyu Hotel
305,Sumter,US,79.11,broken clouds,28.7086,-82.0831,Paradise Oaks RV Resort
314,Aitape,PG,79.3,moderate rain,-3.1374,142.3475,
315,Banjar,ID,84.06,overcast clouds,-8.19,114.9675,The Hamsa Resort
318,Mayumba,GA,75.52,overcast clouds,-3.432,10.6554,LIKWALE LODGE
329,Arraias,BR,80.19,broken clouds,-12.9288,-46.9437,Hotel Japão
344,Sola,VU,77.81,moderate rain,-13.8833,167.55,Leumerus Bungalows
347,Anloga,GH,79.02,light rain,5.7947,0.8973,Pin Drop Hotel
353,Khargapur,IN,78.8,clear sky,24.823,79.144,Non-veg Hotel
357,Cururupu,BR,75.09,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
360,Sawakin,SD,84.74,overcast clouds,19.1059,37.3321,فندق الدويم
366,Adrar,MR,88.66,few clouds,20.5022,-10.0711,
371,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
372,Nizwa,OM,81.79,overcast clouds,22.9333,57.5333,Orient Apartments
374,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
377,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
379,Pacific Grove,US,77.25,clear sky,36.6177,-121.9166,Lovers Point Inn
384,Matamoros,MX,86.11,broken clouds,25.5333,-103.25,Quinta Belem
386,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
389,Puqi,CN,85.03,scattered clouds,29.7167,113.8833,Ramada Plaza Chibi
