City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chandler,US,33.3062,-111.8412,84.92,26,40,3.44,scattered clouds
80,Esperance,AU,-33.8667,121.9,55.24,68,53,25.3,broken clouds
81,Port Macquarie,AU,-31.4333,152.9167,76.89,59,55,8.57,broken clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,90,10.36,light snow
83,Longyearbyen,SJ,78.2186,15.6401,36.36,97,100,4.07,overcast clouds
84,Karlskoga,SE,59.3267,14.5239,52.92,84,100,10.47,overcast clouds
85,Arraial Do Cabo,BR,-22.9661,-42.0278,70.14,94,65,9.42,moderate rain
86,Brae,GB,60.3964,-1.353,51.71,83,100,29.89,overcast clouds
87,Maneadero,MX,31.7167,-116.5667,70.11,79,10,4.21,clear sky
88,Kundla,IN,21.3333,71.3,76.5,89,94,3.09,overcast clouds
89,Port Hardy,CA,50.6996,-127.4199,53.6,76,90,6.91,overcast clouds
90,Tuatapere,NZ,-46.1333,167.6833,61.83,62,100,6.87,overcast clouds
91,Jining,CN,35.405,116.5814,79.0,71,0,8.34,clear sky
92,Okhotsk,RU,59.3833,143.3,36.05,89,58,1.28,broken clouds
93,Lompoc,US,34.6391,-120.4579,73.78,88,1,3.44,clear sky
94,Sorong,ID,-0.8833,131.25,80.1,83,100,7.23,overcast clouds
95,Carnarvon,AU,-24.8667,113.6333,69.87,60,90,13.8,overcast clouds
96,Newport,GB,51.5877,-2.9984,54.14,87,100,12.75,overcast clouds
97,Vao,NC,-22.6667,167.4833,71.58,86,100,28.25,moderate rain
98,Omsukchan,RU,62.5333,155.8,31.06,93,100,9.53,light snow
99,Seoul,KR,37.5683,126.9778,75.61,64,40,3.44,scattered clouds
100,Grindavik,IS,63.8424,-22.4338,46.35,87,40,21.85,scattered clouds
101,Pangnirtung,CA,66.1451,-65.7125,37.09,76,98,2.82,overcast clouds
102,Mokhsogollokh,RU,61.4681,128.9203,33.71,70,100,4.61,overcast clouds
103,Nome,US,64.5011,-165.4064,36.16,52,40,20.71,scattered clouds
104,Mareeba,AU,-17.0,145.4333,95.32,41,42,3.83,scattered clouds
105,Provideniya,RU,64.3833,-173.3,29.01,75,58,6.22,broken clouds
106,Paamiut,GL,61.994,-49.6678,39.04,67,4,10.2,clear sky
107,Isiro,CD,2.7739,27.616,66.07,98,100,1.57,overcast clouds
108,Samoded,RU,63.6083,40.5111,42.76,82,100,3.02,overcast clouds
109,Lovington,US,32.944,-103.3485,63.64,62,66,1.81,broken clouds
110,Manakara,MG,-22.1333,48.0167,65.57,92,2,7.38,clear sky
111,Maryville,US,35.7565,-83.9705,71.67,91,20,0.0,few clouds
112,Smolenka,RU,52.1352,113.4974,35.67,64,44,8.95,scattered clouds
113,Torbay,CA,47.6666,-52.7314,56.75,98,90,4.61,light intensity drizzle
114,Hobyo,SO,5.3505,48.5268,77.61,83,35,18.41,scattered clouds
115,Lagoa,PT,39.05,-27.9833,70.65,91,9,14.52,clear sky
116,Fereydun Kenar,IR,36.6864,52.5225,70.38,61,80,5.59,broken clouds
117,Kavieng,PG,-2.5744,150.7967,85.15,63,38,2.82,scattered clouds
118,Mwene-Ditu,CD,-7.0,23.45,66.76,94,100,4.23,overcast clouds
119,Houma,US,29.5958,-90.7195,80.01,90,100,5.55,overcast clouds
120,Smithers,CA,54.7804,-127.1743,48.52,57,90,8.05,overcast clouds
